City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,General Roca,AR,2022-12-24 18:40:03,-39.0333,-67.5833,78.26,13,0,6.6
231,Nouadhibou,MR,2022-12-24 18:40:04,20.931,-17.0347,75.18,33,0,6.91
232,Jalu,LY,2022-12-24 18:40:04,29.0331,21.5482,60.6,72,0,8.63
233,Byron Bay,AU,2022-12-24 18:40:05,-28.65,153.6167,64.94,90,23,4.63
234,Pisco,PE,2022-12-24 18:40:05,-13.7,-76.2167,73.02,78,80,10.36
235,Kedrovyy,RU,2022-12-24 18:40:06,56.1667,91.8167,10.87,94,100,6.4
236,Jardim,BR,2022-12-24 18:40:06,-21.4803,-56.1381,81.52,62,100,2.3
237,Fonte Boa,BR,2022-12-24 18:40:07,-2.4959,-66.2662,90.12,47,29,5.53
238,Ilulissat,GL,2022-12-24 18:40:07,69.2167,-51.1,-16.38,65,6,6.87
239,Emirdag,TR,2022-12-24 18:40:08,39.0197,31.15,36.63,79,5,0.92
240,Namibe,AO,2022-12-24 18:40:08,-15.1961,12.1522,70.48,80,97,6.6
241,Youkounkoun,GN,2022-12-24 18:40:09,12.5333,-13.1333,82.72,20,100,3.8
242,Shelburne,CA,2022-12-24 18:40:09,44.0787,-80.2041,18.05,90,100,28.52
243,Guerrero Negro,MX,2022-12-24 18:30:30,27.9769,-114.0611,71.98,28,0,3.2
244,Heishan,CN,2022-12-24 18:40:10,41.6892,122.1128,9.63,53,0,5.57
245,Mayo,US,2022-12-24 18:40:10,38.8876,-76.5119,20.25,44,20,10.0
246,Constitucion,CL,2022-12-24 18:40:11,-35.3333,-72.4167,70.81,50,7,13.67
247,Ca Mau,VN,2022-12-24 18:40:11,9.1769,105.15,70.12,82,100,2.93
248,Anloga,GH,2022-12-24 18:40:11,5.7947,0.8973,81.07,61,93,9.64
249,Lagoa,PT,2022-12-24 18:40:12,39.05,-27.9833,56.57,55,52,30.42
250,Faya,SA,2022-12-24 18:40:12,18.3851,42.4509,52.32,81,19,4.32
251,Pervomayskoye,RU,2022-12-24 18:40:13,43.919,46.7102,43.21,82,83,4.18
252,San Patricio,US,2022-12-24 18:40:13,28.017,-97.5169,36.32,19,5,7.56
253,Cherskiy,RU,2022-12-24 18:40:14,68.75,161.3,-1.88,81,3,3.56
254,Barentu,ER,2022-12-24 18:40:14,15.1139,37.5928,71.49,34,19,10.29
255,Masallatah,LY,2022-12-24 18:40:15,32.6167,14.0,61.14,71,100,14.97
256,Dondo,MZ,2022-12-24 18:40:15,-19.6094,34.7431,76.51,80,0,7.09
257,Esperance,AU,2022-12-24 18:40:16,-33.8667,121.9,62.65,87,51,8.52
258,Nyurba,RU,2022-12-24 18:40:16,63.2842,118.3319,-25.71,97,99,5.37
259,Sandpoint,US,2022-12-24 18:40:17,48.2766,-116.5533,12.34,85,100,3.44
260,Yar-Sale,RU,2022-12-24 18:40:17,66.8333,70.8333,-5.62,100,91,7.11
261,Mitsamiouli,KM,2022-12-24 18:40:18,-11.3847,43.2844,80.47,76,84,5.14
262,Chokurdakh,RU,2022-12-24 18:40:18,70.6333,147.9167,-22.88,95,5,2.26
263,Yining,CN,2022-12-24 18:40:19,29.0361,114.5636,37.9,59,0,2.86
264,Port Hardy,CA,2022-12-24 18:40:19,50.6996,-127.4199,41.18,100,100,5.75
265,Gigmoto,PH,2022-12-24 18:40:20,13.7796,124.39,74.95,86,100,20.15
266,Shchebetovka,UA,2022-12-24 18:40:20,44.9333,35.15,48.42,82,95,5.46
267,Boa Vista,BR,2022-12-24 18:40:21,2.8197,-60.6733,87.78,42,40,13.8
268,Chlorakas,CY,2022-12-24 18:40:21,34.8042,32.4083,54.48,82,20,4.61
269,Port Blair,IN,2022-12-24 18:40:22,11.6667,92.75,80.64,74,20,5.75
270,Roald,NO,2022-12-24 18:40:22,62.5833,6.1333,30.09,80,85,13.8
271,Gewane,ET,2022-12-24 18:40:22,10.1664,40.6453,78.21,47,62,6.46
272,Moose Jaw,CA,2022-12-24 18:35:32,50.4001,-105.5344,-0.15,71,95,12.66
273,Ponta Do Sol,PT,2022-12-24 18:40:23,32.6667,-17.1,69.01,91,76,11.74
274,Rio Grande,BR,2022-12-24 18:40:23,-32.035,-52.0986,93.31,73,99,9.95
275,Nizhniy Kuranakh,RU,2022-12-24 18:40:24,58.8353,125.4869,-14.28,99,100,2.68
276,Cayenne,GF,2022-12-24 18:41:24,4.9333,-52.3333,78.84,89,75,13.8
277,Grand Baie,MU,2022-12-24 18:41:25,-20.0182,57.5802,79.45,73,4,3.0
278,Mayya,RU,2022-12-24 18:41:25,61.7333,130.2811,-13.68,95,100,6.13
279,Kalakamati,BW,2022-12-24 18:41:26,-20.5929,27.3121,75.52,22,0,5.41
280,Cockburn Town,TC,2022-12-24 18:41:26,21.4612,-71.1419,78.96,73,4,10.4
281,Davila,PH,2022-12-24 18:41:27,18.4726,120.5763,69.78,77,100,30.15
282,Tabou,CI,2022-12-24 18:41:27,4.423,-7.3528,80.92,75,95,7.0
283,Wahiawa,US,2022-12-24 18:41:28,21.5028,-158.0236,73.72,77,100,3.44
284,Sao Filipe,CV,2022-12-24 18:41:29,14.8961,-24.4956,74.84,59,8,12.12
285,Ayan,RU,2022-12-24 18:41:29,56.45,138.1667,5.34,69,100,16.78
286,Miri,MY,2022-12-24 18:38:18,4.4148,114.0089,77.14,88,40,0.0
287,Brigantine,US,2022-12-24 18:41:30,39.4101,-74.3646,18.03,45,0,18.99
288,Iqaluit,CA,2022-12-24 18:41:30,63.7506,-68.5145,-7.31,63,100,4.61
289,Sorland,NO,2022-12-24 18:41:30,67.667,12.6934,33.66,53,100,19.89
290,Evensk,RU,2022-12-24 18:41:31,61.95,159.2333,22.8,56,100,19.53
291,Zyryanka,RU,2022-12-24 18:41:32,65.75,150.85,-28.25,96,5,0.92
292,Vila Velha,BR,2022-12-24 18:41:32,-20.3297,-40.2925,73.35,97,100,3.0
